Fecha;Mes;Dia;Hora;PrMargEsp;PrMargPor;EnTotCompraEsp;EnTotVentaEsp;EnTotCompraPor;EnTotVentaPor;EnTotIberia;EnTotBilat;ImpEspPor;ExpEspPor
27/8/21;8;5;1;125,33;125,33;18417,9;15378;5277;5819,9;23694,9;31872,5;542,9;0
27/8/21;8;5;2;122,76;122,76;17161,1;14953,1;4938,1;4649,1;22099,2;30229,9;0;289
27/8/21;8;5;3;121,07;121,07;16319,7;14197,7;4658;4283;20977,7;28732,6;0;375
27/8/21;8;5;4;120,06;120,06;16085,5;13882,3;4491,2;4197,4;20576,7;27982,5;0;293,8
27/8/21;8;5;5;119,91;119,91;15902,9;13732,3;4425,4;3960;20328,3;27620,1;0;465,4
27/8/21;8;5;6;119,91;119,91;15942,9;13679;4401;4028,9;20343,9;27770,4;0;372,1
27/8/21;8;5;7;120,41;120,41;16751,8;13949;4439;4605,8;21190,8;29424,4;166,8;0
27/8/21;8;5;8;122;122;17965,1;15013,1;4572,2;4842,2;22537,3;30856,3;270;0
27/8/21;8;5;9;122,67;122,67;19174,7;16167,2;4800,3;5125,8;23975;32637,3;325,5;0
27/8/21;8;5;10;121,86;121,86;20825,3;18160;5338,3;5321,6;26163,6;34908,8;0;16,7
27/8/21;8;5;11;119,91;119,91;22666,1;20340,6;5659,2;5302,7;28325,3;36672;0;356,5
27/8/21;8;5;12;119,87;119,87;23780,7;21856,7;5832,4;5074,4;29613,1;37419,9;0;758
27/8/21;8;5;13;119,87;119,87;24999,2;22814;5984,4;5302,6;30983,6;38680,9;0;681,8
27/8/21;8;5;14;119,91;119,91;25462,9;23271,4;6004,4;5328,9;31467,3;39196,5;0;675,5
27/8/21;8;5;15;119,87;119,87;25653,3;23659,8;5898,5;5025;31551,8;39063,6;0;873,5
27/8/21;8;5;16;107;107;25091,1;23692;5976,3;4462,4;31067,4;38657,9;0;1513,9
27/8/21;8;5;17;108,72;108,72;24290,5;22863,8;5993,8;4507,5;30284,3;38011;0;1486,3
27/8/21;8;5;18;106,75;106,75;23695,1;22242,2;6006,3;4546,2;29701,4;37673,2;0;1460,1
27/8/21;8;5;19;107,7;107,7;22916,5;20895,2;5923,2;4892,5;28839,7;37008;0;1030,7
27/8/21;8;5;20;119,91;119,91;21677,1;18863,6;5912,4;5673,9;27589,5;36100;0;238,5
27/8/21;8;5;21;122,34;122,34;20492;17490;6043,6;5993,6;26535,6;35776;0;50
27/8/21;8;5;22;124,67;124,67;21110,1;17832,9;6247,8;6473;27357,9;36620,5;225,2;0
27/8/21;8;5;23;122,95;122,95;20547,8;17614,1;6064,2;5945,9;26612;35285,3;0;118,3
27/8/21;8;5;24;120,41;120,41;19281,6;16359,5;5667,5;5537,6;24949,1;32876,2;0;129,9
28/8/21;8;6;1;128,29;128,29;18086,4;15629,6;5268,2;5228;23354,6;31461,9;0;40,2
28/8/21;8;6;2;126,53;126,53;16715,7;15054;4801,6;3966,3;21517,3;29655,8;0;835,3
28/8/21;8;6;3;123,94;123,94;15502,7;14290,1;4516,6;3232,2;20019,3;28112,6;0;1284,4
28/8/21;8;6;4;122,95;122,95;14837,5;13899;4360,7;2802,2;19198,2;27203,9;0;1558,5
28/8/21;8;6;5;118,53;118,53;14365,3;13605,4;4289,5;2506,4;18654,8;26604,5;0;1783,1
28/8/21;8;6;6;117,14;117,14;14097,8;13424,6;4243;2373,2;18340,8;26266,3;0;1869,8
28/8/21;8;6;7;119,45;119,45;14074,6;13220,4;4244,6;2555,8;18319,2;26276,9;0;1688,8
28/8/21;8;6;8;120,27;120,27;13894,8;13099,8;4258,2;2510,2;18153;26301;0;1748
28/8/21;8;6;9;120,95;120,95;14867,1;13682;4300,9;2665;19168;27459,4;0;1635,9
28/8/21;8;6;10;122,5;122,5;16818,4;15810,8;4643,2;2829,8;21461,6;29621,4;0;1813,4
28/8/21;8;6;11;109,43;109,43;18717,1;18580,9;4886,8;2202;23603,9;31512,3;0;2684,8
28/8/21;8;6;12;94,5;94,5;20037,4;20072,4;5141,6;2285,6;25179;33014,1;0;2856
28/8/21;8;6;13;93;93;21034,7;21006,4;5334,7;2357;26369,4;34155,5;0;2977,7
28/8/21;8;6;14;96,4;96,4;21428,9;21379,4;5440,2;2483,7;26869,1;34663,5;0;2956,5
28/8/21;8;6;15;93,99;93,99;21823,4;21523,6;5321,5;2615,3;27144,9;34790,5;0;2706,2
28/8/21;8;6;16;91,02;91,02;22085,6;21656,2;5251,2;2674,6;27336,8;35090,8;0;2576,6
28/8/21;8;6;17;88,59;88,59;21417;20967,2;5356,2;2800;26773,2;34558,4;0;2556,2
28/8/21;8;6;18;87,95;87,95;21123,9;20766,8;5497,6;2848,7;26621,5;34467,5;0;2648,9
28/8/21;8;6;19;89,5;89,5;21070,2;20338;5139,3;2865,5;26209,5;34144,1;0;2273,8
28/8/21;8;6;20;97,5;97,5;19371;18708,6;5262,3;2779,7;24633,3;32675,6;0;2482,6
28/8/21;8;6;21;117,04;117,04;18145,3;17126,2;5463,7;3337,8;23609;32372,7;0;2125,9
28/8/21;8;6;22;125,01;125,01;18833,9;17252;5727,2;4164,1;24561,1;33398,6;0;1563,1
28/8/21;8;6;23;123,94;123,94;18226;16623;5591,9;4049,9;23817,9;32288,5;0;1542
28/8/21;8;6;24;116,86;116,86;16977,7;16550,8;5288,4;2570,3;22266,1;30327,5;0;2718,1
29/8/21;8;7;1;103;103;16229,2;16184,2;4982,1;2530,1;21211,3;29304,8;0;2452
29/8/21;8;7;2;93,11;93,11;15246;15004,3;4662,3;2407;19908,3;27857;0;2255,3
29/8/21;8;7;3;93,08;93,08;14819,3;14359,6;4400,7;2363,4;19220;26898,5;0;2037,3
29/8/21;8;7;4;93,08;93,08;14379,4;13794,6;4211,9;2346,7;18591,3;26009,6;0;1865,2
29/8/21;8;7;5;93,08;93,08;14061,9;13399,5;4115,7;2328,1;18177,6;25393,2;0;1787,6
29/8/21;8;7;6;93,11;93,11;13464,1;12807,5;4077,9;2284,5;17542;24750,5;0;1793,4
29/8/21;8;7;7;101,79;101,79;13387,8;12753,9;4078,4;2262,3;17466,2;24798,2;0;1816,1
29/8/21;8;7;8;102,6;102,6;13264,3;12562,1;4052;2304,2;17316,3;24621,7;0;1747,8
29/8/21;8;7;9;102,44;102,44;13664,6;12596,3;4022,7;2316;17687,3;25247,9;0;1706,7
29/8/21;8;7;10;105,98;105,98;14791,4;13952,4;4292;2356;19083,4;26745,8;0;1936
29/8/21;8;7;11;93,1;93,1;16763,7;16194,2;4578;2372,5;21341,7;28888,6;0;2205,5
29/8/21;8;7;12;93,06;93,06;18076,6;17835,6;4897,3;2363,3;22973,9;30463,3;0;2534
29/8/21;8;7;13;93,08;93,08;18623,7;18413,5;5156,1;2406,3;23779,8;31233,1;0;2749,8
29/8/21;8;7;14;96,97;96,97;19059,9;18868,5;5290,4;2521,8;24350,3;31764,7;0;2768,6
29/8/21;8;7;15;99,44;99,44;19262,4;18918,9;5121,9;2598,4;24384,3;31805,7;0;2523,5
29/8/21;8;7;16;93,08;93,08;19450,6;18849;4981,3;2715,9;24431,9;31879,8;0;2265,4
29/8/21;8;7;17;93,06;93,06;19405,7;18607;4890,4;2822,1;24296,1;31888,7;0;2068,3
29/8/21;8;7;18;93,06;93,06;18994,5;18054,8;4820,5;2893,2;23815;31521,7;0;1927,3
29/8/21;8;7;19;93,8;93,8;17886,7;17005,3;4860,1;2874,5;22746,8;30612,6;0;1985,6
29/8/21;8;7;20;111,97;111,97;16991,9;16177,8;5008,6;2816,7;22000,5;30092,6;0;2191,9
29/8/21;8;7;21;125,53;125,53;17174,9;15786,4;5254,7;3637,2;22429,6;30812,8;0;1617,5
29/8/21;8;7;22;128,41;128,41;18477,2;16765,6;5620,2;4325,8;24097,4;32724,4;0;1294,4
29/8/21;8;7;23;127,39;127,39;17856,3;16283,7;5566,9;4133,5;23423,2;32049;0;1433,4
29/8/21;8;7;24;125,6;125,6;16733,6;15697,6;5271,3;3301,3;22004,9;30493,5;0;1970
30/8/21;8;1;1;122,81;122,81;16144,2;15398,9;4929,8;3325,1;21074;29004,1;0;1604,7
30/8/21;8;1;2;117,41;117,41;15230,9;14959,7;4637,6;2558,8;19868,5;27684,7;0;2078,8
30/8/21;8;1;3;112,31;112,31;14324,3;14081,6;4393,8;2286,5;18718,1;26434,9;0;2107,3
30/8/21;8;1;4;112,31;112,31;13880,9;13564,6;4245,6;2211,9;18126,5;25704,5;0;2033,7
30/8/21;8;1;5;116,51;116,51;13995,9;13218,5;4182,2;2369,6;18178,1;25646,1;0;1812,6
30/8/21;8;1;6;120,95;120,95;14185,7;13127,3;4172,6;2641;18358,3;25838,6;0;1531,6
30/8/21;8;1;7;125;125;15960,2;13924,7;4237;3682,5;20197,2;27905,5;0;554,5
30/8/21;8;1;8;128,02;128,02;17861,9;15162,9;4429,9;4261,9;22291,8;30142;0;168
30/8/21;8;1;9;131,92;131,92;19260,8;16728,1;4684,8;5355;23945,6;31898,5;670,2;0
30/8/21;8;1;10;132,92;132,92;20910;19536,6;5220,4;5603,8;26130,4;33988,2;383,4;0
30/8/21;8;1;11;128,53;128,53;22227,6;20970,1;5577,5;5391,2;27805,1;35536,9;0;186,3
30/8/21;8;1;12;126,1;126,1;23092,8;21776,9;5770,7;4887,5;28863,5;36524,4;0;883,2
30/8/21;8;1;13;125,05;125,05;24093,7;22030,9;5944,5;4955,3;30038,2;37670,3;0;989,2
30/8/21;8;1;14;125,05;125,05;24527,5;22473,7;6015,1;5016,9;30542,6;38149,2;0;998,2
30/8/21;8;1;15;125,01;125,01;24417,1;22386,1;5982,4;5053,4;30399,5;37943,8;0;929
30/8/21;8;1;16;122,53;122,53;23838,6;21968,3;6098,2;5008,5;29936,8;37537,3;0;1089,7
30/8/21;8;1;17;121,72;121,72;23365;21613,7;6116,9;4908,2;29481,9;37105,2;0;1208,7
30/8/21;8;1;18;122,81;122,81;22925,7;21044,3;6144,9;5205,3;29070,6;36745,5;0;939,6
30/8/21;8;1;19;122,81;122,81;22045,8;20085,8;6041,3;5180,3;28087,1;35869,3;0;861
30/8/21;8;1;20;128,48;128,48;21236,3;20009,9;6029;5699;27265,3;35225,4;0;330
30/8/21;8;1;21;130,04;130,04;20715,1;18507,9;6158,3;5961,4;26873,4;35257,6;0;196,9
30/8/21;8;1;22;132,82;132,82;21343,8;18701,8;6421,4;6242,4;27765,2;36433,6;0;179
30/8/21;8;1;23;129,14;129,14;20176;17874,9;6257,1;5737,2;26433,1;35123,7;0;519,9
30/8/21;8;1;24;126,58;126,58;18230,4;16471,6;5831,9;4769,7;24062,3;32451,4;0;1062,2
31/8/21;8;2;1;132,22;132,22;18535,6;16437,3;5385,7;4987;23921,3;31817,1;0;398,7
